Metin,Etiket
"Jeneratör alternatörü sargı yanması sonucu devre dışı kaldı. Yedek parça eksikliği uyarısı aylardır sümen altı edildiğinden cihaz onarılamaz durumdadır. Elektrik kısıtlamasına gidilecek olup bakım defteri kapatılmıştır.",2
"Kar motoru bujileri temizlendi ve ateşleme sistemi test edildi. Navigasyon modülüne yeni koordinatlar girilerek saha görevi onaylandı.",0
"Günlük radyosonde balonlarının helyum gaz dolum mekanizması sık sık takılma yapıyor. Eski regülatör valflerinin yenilenmemesi yüzünden donmuş vana kolunu manuel çevirmek ciddi bir efor istiyor. Basit bir meteorolojik hava ölçümü bile bu bariz donanım yetersizlikleri yüzünden saatlerimi alıyor, diğer barometrik kayıtları veritabanına girmemi engelliyor.",1
"PCR cihazının solüsyon atık kabını günde iki kez boşaltma kuralı mantıksızdır. Kap dolana kadar müdahale etmeyeceğim. Protokol reddedildi.",2
"Uydu bant genişliği optimizasyonu tamamlandıktan sonra birikmiş kriptolu veri paketleri sırasıyla merkeze aktarıldı. Gerçekleştirilen telemetri ping testi başarılı sonuç verdi. Telsiz frekansları arka plan gürültüsünden arındırılarak gece nöbeti devredildi.",0
"Erzak sayım formlarının barkod okuyucu olmadan dijitale aktarılması süreci çok hantal. Kutuları tek tek saymak yorucu bir mesaiye dönüştü.",1
"İn-situ spektrometre numune haznesi aşırı soğukta kırılarak analizleri durdurdu. Akrilik malzemenin bu iklime dayanmayacağı barizken kullanımda ısrar edilmesi projeyi bitirmiştir. Raporlanıp donanım çöpe ayrıldı.",2
"Ana dizel yakıt transfer hattındaki ana vana, beklenmedik şebeke basınç dalgalanması sebebiyle yerinden fırlayarak garaj zemininde geniş çaplı döküntü yarattı. Pompa şalterleri derhal indirilerek sızıntı kimyasal emici tozlarla kontrol altına alındı. Boru hattı yedek kelepçeli vanayla değiştirilip sızdırmazlık testinden başarıyla geçirilerek risk sıfırlanmıştır.",0
"Termal yalıtım izolasyon ölçümlerini eski tip kızılötesi termometrelerle yapmak zaman israfıdır. Sensörün algılama süresi uzadıkça koridorlarda soğuğa maruz kalıyorum. Güncel teçhizat taleplerim yanıtsız bırakılıyor.",1
"Barometrik basınç grafiklerinin çıktısını alıp dosyalamak dijital çağda lüzumsuzdur. Cihaz zaten veriyi sunucuya atıyor. Dosyalama işi iptal edilmiştir.",2
"Kışlık teçhizatların termal yalıtım performansları kontrol edildi. Navigasyon GPS modülleri şarj ünitesine bağlandı. Saha intikal ekibi hazırlıklarını tamamladı.",0
"Ana dizel jeneratör yakıt pompası filtrelerini her hafta temizlemek artık katlanılmaz bir çile. Filtre yuvalarının paslanmış metal dişlileri anahtarla çok zor dönüyor. Yetersiz yedek parça yönetimi yüzünden eski filtreleri tazyikli havayla açmaya çalışmak hem jeneratör verimini düşürüyor hem de makine dairesinde kalma süremi gereksiz uzatıyor.",1
"Kar motorunun şase bağlantı demiri seyir halindeyken kırıldı. Kaynak makinesinin arızalı olması ve önceden belirtilen metal yorgunluğu uyarısının hiçe sayılması bu cihazı kullanılamaz kıldı. Skidoo terk edildi.",2
"Eksi 80 dolabı fan motoru rulmanlarında ses tespit edilmesi üzerine sistem durdurularak yedek fan takıldı. Numune saklama prosedürü kesintiye uğramadan iç ortam sıcaklık stabilizasyonu korunmuştur.",0
"Albedo okumaları için dış sensörlere kadar yürümek zorlaşıyor. Karlı zemindeki aydınlatma direklerinin bozuk olması yön bulmamı engelliyor.",1
"Günlük iletişim loglarının manuel dökümü angaryadır. HF telsiz kayıt cihazı otomatik arşivleme yapıyor. Fazladan kağıt işi tarafımca uygulanmayacaktır.",2
"Şiddetli rüzgarda telsiz anten kulesine isabet eden dev buz kütlesi UHF modülünü devre dışı bırakarak karargah iletişimini kopardı. Güvenlik kemerleriyle çatıya çıkılarak hasarlı modül baypas edildi ve yedek anten girişinden yeni kablolama çekildi. Bir saatlik kesintinin ardından telemetri akışı normale döndürülerek kriptolu ağ bağlandı.",0
"PCR cihazının solüsyon kanallarını şırıngayla açmaya çalışmak hassaslığı bozuyor. Geciken otomatik temizleme kiti gönderimleri yüzünden bu manuel işleme mahkum kalmak, biyolojik örneklem analiz süreçlerini felç ediyor.",1
"Katabatik rüzgar çatıdaki tüm meteorolojik veri sensörü tesisatını uçurdu. Montaj pabuçları yetersizdi. Çatıya çıkıp enkaz tespiti yapmak riskli ve manasızdır. Sensör veri aktarımı tamamen durduruldu.",2
"Jeneratör manifold antifriz seviyeleri kontrol formuna işlenmiştir. Voltaj dalgalanması yok. Üs şebeke yükü stabil değerler içerisinde seyrediyor.",0
"Uydu bant genişliğini paylaştıran ana router cihazının arayüzü mütemadiyen donuyor. Sistemdeki kronik yazılım hatalarına karargahtan yama atılmaması, her sabah şebekeyi manuel resetlememe yol açıyor. Ağ trafiğini yönlendirmek gibi rutin bir işlem bile bağlantı kopmaları yüzünden saatlerce terminal başında esir kalmama ve işlerimin gecikmesine sebep olmakta.",1
"Skidoo kar motorunun günlük egzoz kurumu temizliği işlevsiz bir beklentidir. Performansa etkisi olmayan bu kozmetik temizlik işlemi atlanmıştır.",2
"İn-situ spektrometre ve laboratuvar sterilizasyon ünitelerinin topraklama hatları ohmmetre ile test edildi. Kaçak akım riski bulunmuyor. Cihazlar güvenli biçimde yeni veri okumaları için aktif edildi.",0
"Erzak depo kilitlerinin buzlanması lojistik erişimi engelliyor. Kalitesiz asma kilitleri pürmüzle ısıtarak açmak zorunda kalmak depo rutinlerini yavaşlatıyor.",1
"Eksi 80 dolabı kapak menteşesi metal yorgunluğuyla koptu ve izolasyon bozuldu. Kapıyı bantlamak veya desteklemek geçici bir yalandır. Numunelerin ısınma süreci başladı, kurtarma çalışması tarafımca yapılmayacaktır.",2
"Ana şebeke yükü dağıtım panelinde oluşan korozyon kısa devreye sebep olarak sistemi kilitledi. Acil durum el fenerleri eşliğinde hasarlı klemensler söküldü ve yedek bakır bağlantılar pensesiyle yeniden sıkıldı. Dizel alternatör tekrar hatta alınarak voltaj dalgalanması kesildi. İstasyon elektrik altyapısı kayıpsız bir şekilde devreye sokulmuştur.",0
"VHF telsiz kulaklık süngerleri dökülüyor. Akustik yalıtım kalmadığı için fırtına gürültüsünde sinyalleri ayırt etmek imkansızlaşıyor. Depodan yeni set talep edilmesine rağmen lojistik biriminin duyarsızlığı sürüyor.",1
"Çatı rüzgar saptırıcı panellerin manuel eğim ayarını yapmak bürokratik bir uydurmadır. Rüzgar aerodinamiği sabittir. Bu ayar işlemi bugün yapılmadı.",2
"Radyosonde fırlatma rampasının kızak sistemi buz çözücü özel solüsyonla detaylıca temizlenerek yağlandı. Barometrik basınç vericisi sorunsuz okuma yapıyor. Hava durumu balonu planlanan koordinat ve saatte başarıyla atmosfere bırakıldı.",0
"Termal yalıtım panellerindeki mikro çatlakları mastik ve silikonla doldurmak tam bir eziyete dönüştü. Kartuş tabancasının soğukta donması yüzünden kimyasalı ısıtıp uygulamaya çalışıyorum. Binanın prefabrik yapısındaki bu bariz zayıflıklar baştan göz ardı edildiği için, haftada iki günümü cephe çatlaklarını aramakla harcamak mikrobiyoloji laboratuvarındaki asıl bilimsel projelerimi bütünüyle baltalıyor.",1
"Kar motorunun elektronik beyin modülü eksi derecelerdeki neme dayanamayarak yandı. Yalıtımsız bu modüllerin intikallerde risk yaratacağı biliniyordu. Araç saha dışına çekildi, kurtarma prosedürü başlatılmayacak.",2
"Günlük erzak sayımı log defterine işlendi. Yakıt pompası basınç kontrolü nominal aralıklarda. Çevre birimlerin görsel denetimi tamamlandı.",0
"Uydu anteni kulesindeki buzu manuel kazımak sarsıntı yaratıyor. Donanımın hassas yapısına zarar verme endişesi, telemetri onarımına odaklanmamı engelliyor.",1
"Dizel jeneratör yakıt pompası değişimi tamamlanmıştır. Manifold basınç değerleri nominal seviyede. Gece boyu şebeke yükü izlenecek.",0
"Kar motoru palet bakımı prosedürü mevcut şartlarda operasyonel zaman kaybıdır. İlgili yedek parçaların uyumsuzluğu sebebiyle bu rutin kontrol onay listemden çıkarılmıştır.",2
"VHF telsiz antenindeki buzlanmayı temizlemek yine planlanan mesaiyi aştı. Isıtıcı kabloların yalıtımı zayıf olduğu için bu basit buz çözme işlemi diğer birimlerdeki onarımlarımı geciktiriyor.",1
"Gece saatlerinde ana laboratuvarda yangın çıkmış, in-situ spektrometre cihazı kullanılamaz hale gelmiştir. Yangın tüpleriyle müdahale edilip alevler söndürüldü. Alternatif portatif cihazla ölçümler sürdürülmektedir.",0
"Buz karotu numune saklama prosedürü dondurucu modülündeki arıza yüzünden askıya alınmıştır. Manuel termal yalıtım sağlamak benim görev tanımımda yer almadığından işlem sonlandırıldı.",2
"Günlük radyosonde fırlatması sırasında barometrik sensör kalib. hatası verdi. Geçen aydan beri yazılımsal güncellemelerin merkeze iletilmemesi sebebiyle eski sürümle cebelleşmek veri kayıplarına yol açıyor.",1
"Eksi 80 dolabının kompresör valfinde sızıntı tespit edildi. İzole bant ve silikonla geçici mühürleme yapıldı. PCR numunelerinin kontaminasyon riski şimdilik sıfıra indirildi.",0
"Antarktika şartlarında haftalık taze erzak sayım formu doldurmak anlamsız bir bürokrasidir. Depo zaten kilitli. Kağıt israfı ve ısı kaybı yaratmaması adına envanter güncellemeleri tarafımca durdurulmuştur.",2
"Katabatik rüzgar hızının 120 km/h'yi geçmesi uydu bant genişliğinde daralmaya sebep oldu. Çanak ısıtıcılarının yetersiz güç çekmesi yüzünden her fırtınada sinyal zayıflaması yaşamak veri aktarım planımı bozuyor.",1
"Ana yakıt tankından günlük transfer motoru donmuştur. Manuel pompa sistemi devreye alınarak jeneratörlerin antifriz seviyeleri korunmuştur. Isıtıcı fan arızalı bölgeye yönlendirildi.",0
"Biyolojik numuneler için gereken sterilizasyon döngüsü iptal edildi. Otoklav cihazının rezistansı yandığından ve yedek parça envanteri tutarsız olduğundan bu aşamada yapılabilecek bir işlem bulunmamaktadır.",2
"Navigasyon modülündeki GPS sinyal zayıflaması saha araştırmasını riske atıyor. Koordinatları eski haritalarla doğrulamaya çalışmak zaman alıyor. Daha önce talep edilen sinyal güçlendirici eksikliği işleyişi yavaşlatmakta.",1
"Skidoo bujilerinde ateşleme problemi saptandı. Karbüratör temizliği yapılıp yedek bujiler takıldı. Test sürüşünde motor performansı stabil bulundu. Yarınki buz sahası intikali planlandığı gibi yapılacaktır.",0
"Telsiz odasındaki kriptolu veri terminali kısa devre yapıp yanmıştır. Mevcut şartlarda anakart lehimleme imkanı bulunmamakta olup cihaz hurdaya ayrılmıştır. Merkezle şifreli haberleşme protokolü süresiz kapatıldı.",2
"Nem oranı ölçüm sensörlerinin yüzeyindeki karlanmayı kazımak her sabahki angaryaya dönüştü. Albedo değerlerindeki sapmayı engellemek için bu ilkel yöntemi kullanmak analitik odaklanmamı bölmekte.",1
"Fırtına kaynaklı çatı izolasyon paneli uçmuştur. Çatı katına erişim sağlanarak branda ve epoksi reçine ile açık bölge kapatıldı. İçerideki termal sızıntı kontrol altına alındı.",0
"Günlük uydu telemetri raporunu merkeze gönderme prosedürü gereksizdir. Veriler zaten sunucuda loglanıyor. Çift dikiş iş yapmak yerine sistem kendi haline bırakılmış olup manuel raporlama kesilmiştir.",2
"Alternatör kayışında aşınma var. Yedek kayışların depoda arka raflara konması yüzünden aramakla vakit kaybettim. Lojistik düzenlemedeki bu vizyonsuzluk en ufak onarımı bile zorlaştırıyor.",1
"Dış ortam kameralarının lensleri eksi 50 derecede çatlamıştır. Görüş açısı sıfır. Kör noktaları kapatmak için yedek aksiyon kameraları termal kılıflarla dış cepheye monte edildi.",0
"Laboratuvar havalandırma sisteminin rutin temizlik prosedürü iş yükü dengesizliği yaratmaktadır. Filtre değişimi fiziksel zorluk içerdiğinden ve ilgili teçhizat zayıf olduğundan temizlik rotasyonu tarafımca reddedilmiştir.",2
"Buz burgu makinesinin dişlileri sürekli sıkışıyor. Yağlama kalib. ayarlarının merkezden gönderilen kitapçıkla uyuşmaması sahada manuel müdahale gerektiriyor. Doğru dürüst bir rehber olmadan deneme yanılma yapmak yorucu.",1
"Rüzgar türbini fren mekanizması buzlanma sebebiyle kilitlendi. Türbin kulesine tırmanılarak mekanik kilide de-icing sıvısı uygulandı ve rotor serbest bırakıldı. Şebeke voltajı normale döndü.",0
"Ana su arıtma modülü patlamıştır. Boru hatları dondu. Bu aşamada izolasyon onarımı yapmak mevcut malzemelerle fizibil görülmediğinden, ikinci bir emre kadar su kesintisi protokolü uygulanacaktır.",2
"Kar aracı batarya değişimi esnasında kutup başlarında oksitlenme fark edildi. Asit sızıntısını temizleyip yeni aküyü bağlamak gereksiz efor gerektirdi. Soğukta eldivenle bu ince işçilik yapılamıyor.",1
"Gece gözlemi için kurulan optik teleskopun aynası donmuştur. Ayna ısıtıcı modülü aktif edilerek buzlanma 45 dakika içinde çözüldü. Odaklama motorları sorunsuz çalışıyor.",0
"Telsiz kulesindeki rutin parazitlenme kontrolü operasyonel bir değer taşımamaktadır. Anten zaten rüzgarda sallandığı için okumalar tutarsız. Bu sebeple günlük sinyal kalibrasyon ölçümleri durdurulmuştur.",2
"Dizel yakıt hattındaki valf contasını değiştirmek yine vardiyamı uzattı. Contaların kalitesiz kauçuktan üretilmiş olması yüzünden aynı arızayı haftada iki kez onarmak diğer sistem bakımlarını erteliyor.",1
"Uydu çanağı yönlendirme motoru dişli sıyırmıştır. Manuel çevirme aparatı modifiye edilerek antenin açısı 15 derece güneye sabitlendi. Sinyal seviyesi yüzde 85 kapasitede tutuluyor.",0
"Çöp yakma fırınının rezistansı parçalanarak kullanılamaz hale gelmiştir. Yeni bir tasarım yapmak veya geçici çözüm üretmek iş tanımıma girmediğinden atık imha süreci süresiz dondurulmuştur.",2
"Spektrometre veri kablosunda temassızlık var. Lehimleme istasyonunun ucu oksitlendiği için bağlantıyı sağlamlaştırmak çok oyaladı. Sahadan alınan buz karotu analizleri bu basit alet eksiklikleri yüzünden sarkıyor.",1
"Ana jeneratör odasında karbonmonoksit alarmı tetiklendi. Egzoz çıkışındaki kar kütlesi kürenerek hava akışı sağlandı. Sensörler sıfırlandı, gaz tahliyesi başarıyla tamamlandı.",0
"Günlük kar kürüme ve kapı önü açma faaliyeti zaman israfıdır. Fırtına iki saat sonra tekrar dolduruyor. Bu absürt döngüye girmemek adına ön kapı kullanımı iptal edildi.",2
"HF telsiz frekansında dün geceki aurora sebebiyle sinyal zayıflaması yaşandı. Alternatif bantlara geçmek uzun sürüyor. Modülasyon ayarlarının manuel yapılması bu çağda hala kullanılmamalıydı.",1
"Su ısıtıcı boyler tankında basınç düşüşü gözlendi. Tahliye valfi sökülüp kireçten arındırıldı. Conta yenilenip sistem tekrar basınca bindirildi, kaçak yok.",0
"Revirdeki sterilizasyon dolabının ana kartı yanmıştır. Elektronik tamir malzemelerinin yetersizliği sebebiyle onarım girişimi gereksiz bulunmuş olup, tıbbi malzeme dezenfeksiyon işlemleri askıya alınmıştır.",2
"Kışlık teçhizatın kurutma odasına asılması kuralı pratik işlemiyor. Askıların boyu kısa. Ekipmanlar tam kurumadığı için ertesi gün donmuş tulum giymek hareket kabiliyetimi kısıtlıyor.",1
"Barometrik basınç sensörünün kablosu buz tilkileri tarafından kemirilmiş. Kopan hat zırhlı kablo ile ek yapılarak yer altından geçirildi. Veri akışı tekrar sağlandı.",0
"Haftalık psikolojik öz değerlendirme anketleri bilimsel geçerliliğini yitirmiştir. Kapalı ortamda aynı soruları yanıtlamak bürokratik bir yüktür. Bu haftaki ve sonraki form gönderimleri onaylanmamıştır.",2
"Rüzgar türbin kanatlarındaki mikro çatlakları epoksi ile doldurmak tahmin edilenden zor oldu. Yüksek irtifada rüzgar vururken bu hassas işçiliği yapmak iş güvenliği protokollerindeki açıkları gösteriyor.",1
"Isı yalıtım panellerinden birinde termal kamera ile kaçak tespit edildi. Poliüretan köpük ile dolgu yapıldı, iç yüzey alüminyum bant ile mühürlendi. Sıcaklık sızıntısı bitti.",0
"Aylık antifriz stok sayımı gereksizdir. Tüketim miktarı zaten jeneratör loglarından çıkarılabilir. Depoya gidip fiziksel bidon saymak yerine sistem verileri geçerli kabul edilmiştir.",2
"Buz altı sondaj makinesinin matkap ucu kırıldı. Titanyum alaşım yerine standart çelik uç gönderildiği için daha ilk metrede enkazla uğraşmak tüm sondaj takvimimi sabote etti.",1
"Telsiz odası yedek batarya bankasında voltaj dengesizliği ölçüldü. Arızalı akü hücresi devreden çıkarılıp bypass edildi. Sistem mevcut haliyle regüle bir şekilde çalışıyor.",0
"Meteoroloji istasyonunun ana direği fırtınada ikiye katlanmıştır. Fiziksel hasar onarılamayacak boyutta olduğundan hava durumu veri toplama işlemi tarafımca tamamen iptal edilip sistem kapatıldı.",2
"Kar aracı paletlerinin gerginlik ayarını yapmak soğukta vidalar donduğu için eziyete döndü. Somun ısıtıcı tabancanın şarjı çabuk bitiyor. Sahaya çıkış öncesi bu angarya tahammül sınırlarını zorlamakta.",1
"Eksi 80 dolabının dijital termostatı arızalandı. Analog termometre yerleştirilerek röle bağlantısı manuel kontrol ünitesine çekildi. Sıcaklık günde dört kez fiziksel olarak kontrol ediliyor.",0
"Günlük ortak alan temizliği ve zemin dezenfeksiyonu protokolü faydasızdır. Dışarıdan sürekli kar taşındığı için yapılan işlemin hijyenik değeri sıfırdır, bu nedenle rotasyonumdaki temizlik görevini sildim.",2
"PCR reaktif kitlerinin son kullanma tarihi yaklaşmış. Soğuk zincirde yaşanan dalgalanmalar yüzünden kitlerin bozulma ihtimali numune işlememi yavaşlatıyor. Tedarik zincirindeki aksaklıklar masa başı işlerimi baltalamakta.",1
"Ana giriş kapısının hidrolik pompası donarak çatladı. Pnömatik yedek parça uydurularak menteşe sistemi modifiye edildi. Kapı izolasyonu sağlandı ve sorunsuz kapanıyor.",0
"Güneş panellerinin üzerindeki buzu fırçalamak operasyonel bir körlüktür. Zaten aylarca zifiri karanlık var. Elektrik üretimi olmayan bir panel için harcanan fiziksel efor durdurulmuştur.",2
"Ana laboratuvardaki eksi 80 dolabının yedek güç ünitesi alev aldı. Yangın battaniyesiyle müdahale edildi. Kompresör soğutma hattı bypass edilerek ana şebekeye bağlandı, numune ısı değerleri stabil.",0
"Haftalık palet bakımı sırasındaki gerginlik ölçümü angaryadır. Kışlık teçhizatın sınırlı hareket imkanı vermesi nedeniyle aletli manuel ölçümler iptal edilip gözlemsel loglama kafi görülmüştür.",2
"Radyosonde balonlarını şişirme pompası yine tutukluk yapıyor. Valf iğnelerini her sabah cımbızla düzeltmek rüzgar hızı verilerini merkeze zamanında iletmemi sekteye uğratıyor.",1
"Skidoo yakıt transferi tamamlandı. GPS navigasyon cihazlarının bataryaları şarj istasyonuna eklendi. Yarınki saha ölçümleri için kar araçları operasyonel durumda.",0
"Ana anten kulesindeki telemetri kablosu fırtınada kopmuştur. Yedek zırhlı kablo stokta kalmadığından veri aktarımı süresiz olarak durdurulmuş olup onarım inisiyatifi alınmamıştır.",2
"Dizel jeneratör manifold çatlağı yüzünden sızıntı var. Başından beri yedek manifold talep listeme dönüş yapılmaması bu dondurucu soğukta geçici epoksi yamasıyla uğraşmama neden olmakta.",1
"Çatıdaki anemometre pervanesi buz kütlesi çarpması sonucu kırıldı. Depodaki eski nesil sensör revize edilerek direğe monte edildi, rüzgar ölçümleri tekrar sisteme aktarılıyor.",0
"Kışlık teçhizat kurutma odasının günlük zemin temizliği faydasız bir işlemdir. İçeri giren kar miktarı sabittir. Bu anlamsız temizlik rotasyonu kendi inisiyatifimle pas geçilmiştir.",2
"Laboratuvar sterilizasyon cihazının kapağı kasılıyor. Her numune saklama öncesi menteşeleri ısıtıcıyla gevşetmek zorunda kalmak biyolojik test süreçlerimi yavaşlatıyor.",1
"Telsiz odası HF telsiz kalib. işlemi bitti. Uydu bant genişliği optimizasyonu yapılarak ping süresi düşürüldü. Sinyal seviyeleri nominal.",0
"Yakıt pompası motoru yanmış ve manifold kullanılmaz hale gelmiştir. Yeni bir sistem kurmak mevcut teçhizatla imkansız olduğundan jeneratör dairesindeki tüm modifikasyonlar durduruldu.",2
"Kar motoru palet dişlileri seyir halindeyken parçalandı. Gönderilen yedeklerin uyumsuz olduğu haftalar önce raporlanmasına rağmen sahada mahsur kalma tehlikesi atlatmak operasyonel hızımı kesiyor.",1
"Biyoloji laboratuvarı penceresinde mikro çatlak saptandı. İç basınç düşüşünü engellemek için polimer yalıtım köpüğü ve dış cephe bandı uygulandı. Termal kaçak durduruldu.",0
"Ortak alanlardaki yangın tüplerinin aylık basınç kontrolü lüzumsuzdur. Manometreler zaten yeşil bölgede sabit. Olası bir risk bulunmadığından bu fiziksel kontrol safhası atlanmıştır.",2
"Erzak sayımı için dondurucuya girmek ve listedeki barkodları okutmak yine saatlerimi aldı. Sistemin otomatik entegrasyonu sağlanmadığı sürece bu manuel kayıt işi asli görevlerimi baltalıyor.",1
"Rüzgar türbini jeneratör yatakları yağlandı. Voltaj dalgalanması analizi loglara eklendi. Sistem şu an maksimum verimde çalışmakta.",0
"İn-situ spektrometre cihazının merceği buz basıncından tuzla buz olmuştur. Bu aşamada optik değişimi prosedürü tarafımca uygulanamaz bulunmuş ve ölçümler sonlandırılmıştır.",2
"Isıtma sistemi devridaim pompası dondu. Geçen ayki sirkülasyon sıvısı değişiminde düşük kalite antifriz kullanılması ana boruları pürmüzle açma yükünü yine sistem kontrolüne bıraktı.",1
"VHF telsiz güç kaynağı modülünde kısa devre meydana geldi. Sigorta paneli sökülerek arızalı kapasitörler yedekleriyle değiştirildi. İletişim ağı yeniden aktif.",0
"Günlük katabatik rüzgar verisi raporlama çizelgesi doldurmak zaman israfı. İstasyon logları bu işi görüyor. Kağıt üzerinde çift veri girişi yapma uygulamasına tarafımca son verilmiştir.",2
"Taze gıda stoğundaki çözülmüş ürünleri ayrıştırmak bitmek bilmeyen bir iş. Lojistik biriminin ambalajlama standartlarındaki özensizliği yüzünden vakit kaybı yaşanıyor.",1
"Karot buz numuneleri eksi 80 dolabına yerleştirildi. Sterilizasyon döngüsü standart prosedüre uygun olarak başlatıldı. Kontaminasyon izine rastlanmadı.",0
"Dış ortam hava kalitesi sensörü fırtınada uçmuştur. Sistemin yenilenmesi veya modifiye edilmesi iş tanımım dışında kaldığından sensör okumaları süresiz iptal edildi.",2
"Uydu çanağının motoru dişli sıyırdı. Gerekli gres yağının donma noktasının yetersizliği bilindiği halde tedarik edilmemesi anten yönlendirmesini imkansızlaştırıyor.",1
"Ana koridordaki termal yalıtım zemininde çökme tespit edildi. Alt destek profilleri hidrolik kriko ile kaldırılarak çelik plakalarla desteklendi. Yürüyüş yolu güvenli.",0
"GPS navigasyon modüllerinin günlük batarya döngü testi operasyonel verimliliği düşürmektedir. Kullanılmayan cihazların pillerini sök-tak yapmak anlamsız olduğundan işlem kaldırıldı.",2
"Dizel yakıt aktarımı sırasında hortum rekorlarını bağlamak bile eziyet. Bağlantı uçlarının standart dışı olması her ikmalde fazladan efor harcamama neden oluyor.",1
"PCR cihazı optik okuyucu kalib. testleri başarılı. Biyolojik örnek işleme protokolüne geçiş onaylandı. Değerler referans aralığında.",0
"Skidoo karbüratörü donarak bloğu patlatmıştır. Motor onarımı veya yeni blok dökümü imkanlar dahilinde olmadığından saha intikal aracı ıskartaya çıkarıldı.",2
"Geceki aurora aktivitesi sırasında HF telsiz paneli yandı. Anten topraklamasının standartlara uygun yapılmaması iletişim cihazlarını riske atıp iş yükünü artırıyor.",1
"Laboratuvar egzoz fanı pervanesi kırılarak kanala sıkıştı. Kanal sökülerek enkaz temizlendi ve 3D yazıcı ile üretilen yedek pervane takıldı. Havalandırma devrede.",0
"Haftalık şebeke yükü analiz raporlarının merkeze faks çekilmesi absürt bir bürokrasidir. Dijital veri akışı mevcutken eski nesil evrak işi kendi kararımla durdurulmuştur.",2
"Albedo ölçüm plakalarındaki karları temizlemek rutinimde lüzumsuz yer kaplıyor. Isıtıcılı plakalar tahsis edilmediğinden manuel fırçalama yapmak analitik işlerimi aksatmakta.",1
"Uydu bağlantısı parazitlenme testleri tamamlandı. Kriptolu veri gönderimi planlanan frekans üzerinden sorunsuz çalışıyor. Bant genişliği normal.",0
"Su arıtma sisteminin ana filtresi çatlamış ve sızıntı yapmıştır. Elimizdeki yedekler uymadığı için müdahale imkanı kalmamış olup arıtma işlemi süresiz kapatılmıştır.",2
"Barometrik basınç sensörü fırtınada yerinden söküldü. Montaj kelepçelerinin zayıf olduğunu bildirmeme rağmen aksiyon alınmaması veri zincirini koparıyor.",1
"Revir ısıtma hattında donma ve basınç kaybı saptandı. Sorunlu hat izole edilerek sıcak su devridaimi yedek hattan sağlandı. Ortam ısısı nominal değere ulaştı.",0
"İstasyon dışı kar motoru park alanının sınır direklerini düzeltmek manasızdır. Görüş mesafesi kısıtlı. Bu angarya güvenlik gerekçesi gösterilerek işlem listesinden çıkarıldı.",2
"Jeneratör antifriz seviyelerini her vardiyada manuel çubukla ölçmek ilkel bir yaklaşım. Otomatik şamandıra sisteminin bozuk bırakılması tüm teknik işleyişi yavaşlatıyor.",1
"Biyoloji birimi eksi 80 dolabı log kayıtları alındı. In-situ spektrometre numune haznesi sterilizasyonu uygulandı. Cihazlar teste hazır.",0
"Ana telsiz anten kulesi taşıyıcı halatı kopmuş ve kule yan yatmıştır. Kaldırma vinci kapasite dışı kaldığından herhangi bir doğrultma müdahalesinde bulunulmamış kule terk edilmiştir.",2
"Acil durum aydınlatma bataryaları test sırasında patladı. Süresi dolmuş akülerin envanterde tutulması riskli ortamlardaki operasyon süreçlerini sekteye uğratıyor.",1
"Rüzgar şiddetine dayanamayan depo kapısı menteşeleri kırıldı. Palet kayışları ve çelik dübeller kullanılarak kapı içeriden sabitlendi ve geçici kilit mekanizması oluşturuldu.",0
"Günlük termal yalıtım kontrol devriyesi verimsiz bir pratiktir. Olası kaçaklar sadece içerisi buz tuttuğunda anlaşıldığından bu rutin denetim turu tarafımca sonlandırılmıştır.",2
"Karot sondaj makinesinin ucunu her işlem sonrası alkolle silmek vaktimi sömürüyor. Kendi kendini temizleyen ünitelerin bütçe kısıntısına takılması saha işlerimi zorlaştırıyor.",1
"Meteoroloji istasyonu anemometre verileri loglandı. Katabatik rüzgar ortalaması çıkarılarak veri sensörü üzerinden merkeze şifreli şekilde iletildi.",0
"Dizel yakıt tankı ısıtıcısı kısa devre yapmış ve yanmıştır. Eski tip rezistansları sarmak görev tanımımda yer almadığından sistem terk edilmiş yakıt transferi askıya alınmıştır.",2
"Kar motoru ateşleme bobini seyir halindeyken arızalandı. Revize parça taleplerinin göz ardı edilmesi dışarıda arıza tespiti gibi durumları tetikliyor.",1
"Biyolojik numune dolabında güç kesintisi yaşandı. UPS ünitesi manuel tetiklenerek eksi 80 derecenin korunması sağlandı. Ana şebeke rölesi onarılıyor.",0
"Telsiz odası logbook defterini manuel doldurmak çağ dışı bir yaklaşımdır. Zaman damgalı ses kayıtları varken kağıt kaleme dönmek mantıksız olduğu için yazılı raporlama kesilmiştir.",2
"Biyoloji alanındaki in-situ spektrometre güç adaptörü aşırı ısınmadan eridi. Kimyasal yangın tüpüyle müdahale edilip sızıntı alanı temizlendi. Cihaz yedek batarya ile aktif edildi, ölçümler devam ediyor.",0
"Haftalık kar motoru (skidoo) GPS navigasyon kalibrasyonu lüzumsuzdur. Zaten üs çevresinden ayrılınmıyor. Bu protokole harcanan mesai israfı yüzünden işlem rotasyonumdan çıkarılmıştır.",2
"Numune saklama kaplarını sterilizasyon için otoklava taşımak bile ayrı dert. Tekerlekli taşıma arabasının milleri donduğu için basit taşıma işlemlerinde bedensel yüküm lüzumsuz yere artıyor.",1
"Jeneratör alternatör kayış değişimi tamamlandı. Şebeke yükü yüzde 60 seviyesinde stabilize edildi. Voltaj dalgalanması tolere edilebilir sınırlarda loglara işlendi.",0
